year,stockID,per
2014,1530,14.73
2015,1530,11.7625
2016,1530,15.1325
2017,1530,19.13
2018,1530,12.155
2019,1530,16.095
2020,1530,10.76
2021,1530,16.96
2022,1530,11.5375
2023,1530,11.9175
2024,1530,14.15
2014,1531,21.93
2015,1531,21.3475
2016,1531,25.045
2017,1531,27.4525
2018,1531,25.7225
2019,1531,53.5875
2020,1531,232.2
2021,1531,412.93
2022,1531,14.4625
2023,1531,64.57
2024,1531,42.46666667
2014,1532,22.815
2015,1532,13.1625
2016,1532,12.1825
2017,1532,15.465
2018,1532,9.345
2019,1532,14.785
2020,1532,20.0925
2021,1532,13.285
2022,1532,12.285
2023,1532,15.5375
2024,1532,12.01666667
2014,1533,26.08
2015,1533,23.1075
2016,1533,40.48
2017,1533,39.415
2018,1533,18.23
2019,1533,16.1325
2020,1533,25.54
2021,1533,67.0725
2022,1533,94.8275
2014,1535,12.36
2015,1535,14.38
2016,1535,18.5225
2017,1535,25.5325
2018,1535,35.5975
2019,1535,36.165
2020,1535,22.9725
2021,1535,15.38
2022,1535,11.045
2023,1535,12.15
2024,1535,15.66
2014,1536,18.27
2015,1536,23.7175
2016,1536,30.0675
2017,1536,29.5875
2018,1536,27.1225
2019,1536,33.93
2020,1536,61.785
2021,1536,85.625
2022,1536,41.675
2023,1536,43.61
2024,1536,47.56
2014,1537,12.48
2015,1537,14.6525
2016,1537,14.04
2017,1537,13.72
2018,1537,12.445
2019,1537,12.8
2020,1537,12.3375
2021,1537,16.5225
2022,1537,14.435
2023,1537,15.9325
2024,1537,17.52
2014,1539,9.39
2015,1539,10.93
2016,1539,9.7875
2017,1539,12.935
2018,1539,6.775
2019,1539,10.6
2020,1539,149.38
2021,1539,59.7725
2022,1539,6.575
2023,1539,12.7275
2024,1539,17.11666667
2014,1540,9.34
2015,1540,14.985
2016,1540,25.4275
2017,1540,29.1525
2018,1540,14.6525
2019,1540,13.76
2020,1540,45.62
2022,1540,25.97
2023,1540,13.4125
2024,1540,14.46333333
2014,1541,7.825
2015,1541,10.945
2016,1541,13.9525
2017,1541,19.9825
2018,1541,28.7025
2019,1541,15.38
2020,1541,8.845
2021,1541,11.02
2022,1541,10.4075
2023,1541,16.08
2024,1541,14.67333333
2014,1558,11.425
2015,1558,10.995
2016,1558,10.9775
2017,1558,13.2775
2018,1558,10.675
2019,1558,11.0925
2020,1558,10.4625
2021,1558,14.8675
2022,1558,15.775
2023,1558,21.3125
2024,1558,21.68
2014,1560,14.765
2015,1560,12.9825
2016,1560,14.52
2017,1560,16.8325
2018,1560,13.5575
2019,1560,15.025
2020,1560,16.2425
2021,1560,18.9525
2022,1560,17.865
2023,1560,21.87
2024,1560,46.09333333
2024,1563,21.31
2014,1568,19.665
2015,1568,14.4125
2016,1568,18.625
2017,1568,20.475
2018,1568,20.365
2019,1568,44.8
2020,1568,117.1775
2021,1568,134.1275
2022,1568,22.36
2023,1568,12.325
2024,1568,9.623333333
2014,1582,11.225
