year,stockID,roa
2018,1456,0.25
2017,1456,0.84
2016,1456,1.04
2015,1456,2.63
2014,1456,-28.6
2013,1456,0.52
2012,1456,-10.4
2011,1456,-8.56
2010,1456,-5.45
2009,1456,-7.75
2008,1456,0.98
2023,1457,5.35
2022,1457,10.6
2021,1457,2.02
2020,1457,3.09
2019,1457,3.29
2018,1457,4.69
2017,1457,5.68
2016,1457,0.29
2015,1457,5.19
2014,1457,1.25
2013,1457,2.31
2012,1457,0.99
2011,1457,-2.72
2010,1457,5.35
2009,1457,0.84
2008,1457,-2.92
2023,1459,0.47
2022,1459,-7.42
2021,1459,12.2
2020,1459,-3.04
2019,1459,-1.28
2018,1459,-5.13
2017,1459,1.35
2016,1459,-6.41
2015,1459,3.11
2014,1459,2.36
2013,1459,2.43
2012,1459,-0.57
2011,1459,3.7
2010,1459,8.02
2009,1459,2.64
2008,1459,-6.46
2023,1460,-8.87
2022,1460,0.15
2021,1460,1.29
2020,1460,-6.92
2019,1460,-2.09
2018,1460,1.29
2017,1460,1.98
2016,1460,5.39
2015,1460,4.87
2014,1460,4.3
2013,1460,2.7
2012,1460,6.85
2011,1460,2.38
2010,1460,-16.3
2009,1460,0.07
2008,1460,-5.87
2023,1463,3.72
2022,1463,2.47
2021,1463,3.07
2020,1463,2.35
2019,1463,4.61
2018,1463,10.7
2017,1463,20.2
2016,1463,21.2
2015,1463,2.49
2014,1463,2.69
2013,1463,1.87
2012,1463,-2.02
2011,1463,1.25
2010,1463,0.58
2009,1463,8.63
2008,1463,-9.75
2023,1464,0.69
2022,1464,2.17
2021,1464,1.06
2020,1464,-1.13
2019,1464,3.47
2018,1464,1.66
2017,1464,3.3
2016,1464,4.37
2015,1464,4.63
2014,1464,13.2
2013,1464,-0.76
2012,1464,1.01
2011,1464,1.02
2010,1464,0.5
2009,1464,1.13
2008,1464,-3.1
2023,1465,2.92
